feature,importance
app_category_0,0.14266244
C_pix,0.12174403
site_category_20,0.081399366
site_category_1,0.041668046
site_category_23,0.036443733
app_category_24,0.033086292
C21,0.032946024
C_device_type_1,0.032810792
site_category_11,0.02923324
C18,0.02347888
site_category_3,0.02209786
site_category_22,0.022051578
C_site_domain,0.02177754
C_site_id,0.021055153
app_domain,0.020922469
app_id_users,0.020714825
banner_pos,0.020618178
app_category_19,0.020058803
site_id_users,0.01952718
is_device,0.019067794
C_app_id,0.018296447
site_category_5,0.014481233
app_category_4,0.014303573
device_conn_type,0.013810418
C20,0.0131797185
app_category_29,0.012954732
site_category_2,0.0122023495
site_category_8,0.010790562
site_category_10,0.010447428
app_category_30,0.009385068
site_category_0,0.009216787
C14,0.009082291
C19,0.008622959
app_category_25,0.0073729074
app_category_1,0.007232019
C_device_model,0.005490622
app_category_26,0.0051189396
day,0.0048510795
device_ip,0.004656264
hour,0.0045122816
Unnamed: 0,0.004452775
app_category_15,0.0038127939
site_category_7,0.0036800515
id,0.0035410745
site_category_17,0.0029804998
app_category_11,0.0021608984
site_category_21,0.0
site_category_13,0.0
app_category_20,0.0
app_category_21,0.0
app_category_22,0.0
app_category_23,0.0
site_category_14,0.0
site_category_12,0.0
app_category_18,0.0
app_category_27,0.0
app_category_28,0.0
site_category_9,0.0
site_category_6,0.0
site_category_4,0.0
site_category_15,0.0
app_category_16,0.0
app_category_17,0.0
site_category_19,0.0
site_category_16,0.0
app_category_14,0.0
app_category_13,0.0
app_category_12,0.0
app_category_10,0.0
app_category_9,0.0
app_category_8,0.0
app_category_7,0.0
app_category_6,0.0
app_category_5,0.0
app_category_3,0.0
app_category_2,0.0
site_category_18,0.0
